alpha_score,composite_score,computed_at,dii_1yr,dii_quarter,ev_ebitda,ev_sales,fii_1yr,fii_quarter,final_score,future_pe,future_peg,future_return,g_score,growth_score,index_group,irs_pct,irs_raw,loss_profit_qoq,loss_profit_ttm,loss_profit_yoy,market,market_cap_b,net_profit_ttm_1yr_growth,net_profit_yoy_growth,pb_ratio,pe_ratio,qoq_profit_growth,qoq_sales_growth,qtr_beta,qtr_std,rebalance_date,return_1yr,return_2yr,return_3m,return_6m,return_score,revenue_b,risk_eff_score,risk_score,sales_ttm_1yr_growth,sales_yoy_growth,sector,stocks_list,strategy_stocks,sub_sector,ticker,ttm_peg,ttm_revenue_b,valuation_score,yr_beta,yr_std
,3.0,2026-06-10T03:00:34.118939+00:00,,,8.19,1.79,,,,23.25,0.46,,2.5,-0.5,SP500,58.75,3.5,True,False,True,US,,50.8,-49.3,2.27,15.42,-27.5,-22.9,0.1561,25.21,,19.29,93.76,14.54,0.35,1.5,,1.0,0.5,16.6,-8.6,Communication Services,,,Entertainment,FOX,0.3,,1.5,0.4295,27.39
,4.0,2026-06-10T03:00:34.119057+00:00,,,8.97,1.96,,,,25.98,0.51,,3.5,-0.5,SP500,61.25,4.5,True,False,True,US,,50.8,-49.3,2.53,17.23,-27.5,-22.9,0.1586,25.77,,21.38,98.82,16.49,-0.36,1.5,,1.0,0.5,16.6,-8.6,Communication Services,,,Entertainment,FOXA,0.34,,2.5,0.4581,27.82
,4.0,2026-06-10T03:00:34.119189+00:00,,,18.75,11.95,,,,29.19,0.74,,5.0,1.5,SP500,57.5,3.0,False,False,False,US,,39.2,152.5,3.32,20.97,22.6,1.5,0.5097,17.68,,31.88,35.06,10.86,25.82,2.0,,-2.0,-1.0,6.4,10.3,Real Estate,,,REIT - Retail,FRT,0.53,,1.5,0.4056,17.1
,1.5,2026-06-10T03:00:34.119289+00:00,,,13.54,5.68,,,,20.9,1.14,,5.5,2.5,SP500,43.75,-2.5,True,False,False,US,,18.3,65.1,3.3,17.67,-33.5,-37.9,1.5051,48.64,,94.54,9.05,51.8,15.12,2.0,,-8.0,-4.0,24.1,23.6,Technology,,,Solar,FSLR,0.97,,1.0,1.3753,56.89
,-0.5,2026-06-10T03:00:34.119406+00:00,,,39.09,12.98,,,,52.57,8.48,,0.5,1.0,SP500,46.25,-1.5,False,False,False,US,,6.2,28.6,96.22,49.5,5.6,-2.9,0.3035,52.43,,27.11,117.14,63.8,58.52,3.5,,-2.0,-1.0,14.2,20.1,Technology,,,Software - Infrastructure,FTNT,7.98,,-4.0,1.0041,44.03
,0.0,2026-06-10T03:00:34.119507+00:00,,,17.87,5.02,,,,24.48,-0.8,,-0.5,-2.5,SP500,51.25,0.5,True,True,True,US,,-30.5,-12.4,2.97,35.22,-26.5,-4.7,0.6916,22.78,,10.99,8.43,1.12,,0,,1.0,0.5,1.9,7.7,Technology,,,Scientific & Technical Instruments,FTV,-1.15,,2.0,0.7369,25.69
,-3.5,2026-06-10T03:00:34.119657+00:00,,,10.61,2.77,,,,12.94,-1.96,,-5.0,-2.0,SP500,45.0,-2.0,True,True,False,US,,-6.6,6.0,48.02,13.85,-12.4,-0.5,-0.003,37.96,,-52.46,-38.36,-2.63,-32.86,-3.0,,3.0,1.5,8.3,6.1,Technology,,,Software - Infrastructure,GDDY,-2.1,,0,0.4083,35.78
,-5.0,2026-06-10T03:00:34.119804+00:00,,,10.54,1.77,,,,16.04,3.49,,-7.0,-2.5,SP500,42.5,-3.0,True,False,True,US,,4.6,-30.9,2.68,15.33,-34.0,-10.0,1.6683,41.95,,-11.96,-19.6,-21.54,-20.6,-3.5,,4.0,2.0,4.8,7.4,Healthcare,,,Medical Devices,GEHC,3.33,,-1.0,1.275,32.09
,8.0,2026-06-10T03:00:34.119895+00:00,,,9.48,4.53,,,,23.66,0.46,,4.5,4.0,SP500,78.75,11.5,False,False,False,US,,51.3,265.2,5.62,15.64,166.7,3.5,0.8671,43.01,,-10.61,4.02,10.43,-5.58,-1.0,,7.0,3.5,27.1,27.0,Technology,,,Software - Infrastructure,GEN,0.3,,1.5,1.0401,31.88
,3.5,2026-06-10T03:00:34.119987+00:00,,,76.95,6.67,,,,91.48,0.43,,7.5,3.0,SP500,48.75,-0.5,False,False,False,US,,214.7,1816.5,19.22,29.07,29.5,-14.8,2.0632,50.68,,111.85,463.78,13.1,72.88,4.0,,-8.0,-4.0,9.0,16.3,Industrials,,,Specialty Industrial Machinery,GEV,0.14,,0.5,1.9614,48.61
,2.5,2026-06-10T03:00:34.12008+00:00,,,12.31,6.1,,,,322.49,0.19,,2.5,0.5,SP500,56.25,2.5,True,False,False,US,,500.0,54.8,7.19,18.19,-7.4,-12.2,0.7177,22.29,,25.86,128.49,-8.69,10.91,1.0,,0.0,0,2.4,4.4,Healthcare,,,Drug Manufacturers - General,GILD,0.01,,1.0,0.5074,26.13
,-7.0,2026-06-10T03:00:34.12017+00:00,,,6.28,1.13,,,,7.56,-0.93,,-6.0,-4.0,SP500,30.0,-8.0,True,True,True,US,,-8.1,-14.5,3.27,8.23,-26.6,-8.7,0.0955,22.99,,-33.67,-44.04,-23.62,-25.75,-4.0,,-2.0,-1.0,-1.9,2.2,Consumer Defensive,,,Packaged Foods,GIS,-1.02,,2.0,-0.1808,23.52
,1.0,2026-06-10T03:00:34.120314+00:00,,,42.53,10.18,,,,289.98,1.35,,5.0,4.0,SP500,42.5,-3.0,True,False,False,US,,215.4,138.9,13.28,91.94,-31.3,-1.7,3.0615,75.97,,271.75,436.21,,121.12,3.0,,-8.0,-4.0,19.1,20.0,Technology,,,Electronic Components,GLW,0.43,,-2.0,2.1947,52.73
,-1.5,2026-06-10T03:00:34.120502+00:00,,,33.33,4.06,,,,43.01,-0.84,,2.5,-1.0,SP500,36.25,-5.5,True,True,False,US,,-50.9,69.9,6.14,87.6,-399.4,-2.9,1.8994,54.92,,124.86,86.94,21.3,87.27,4.0,,-8.0,-4.0,-2.0,12.4,Industrials,,,Specialty Industrial Machinery,GNRC,-1.72,,-0.5,1.7895,52.25
,6.5,2026-06-10T03:00:34.120594+00:00,,,28.81,11.0,,,,38.7,1.21,,5.5,3.0,SP500,68.75,7.5,False,False,False,US,,32.0,82.0,9.77,29.32,81.6,-3.5,1.6282,33.2,,124.01,119.44,26.12,22.7,3.5,,2.0,1.0,15.1,21.8,Communication Services,,,Internet Content & Information,GOOG,0.92,,-1.0,1.3257,28.27
,6.5,2026-06-10T03:00:34.120684+00:00,,,29.11,11.11,,,,39.16,1.22,,5.5,3.0,SP500,68.75,7.5,False,False,False,US,,32.0,82.0,9.87,29.67,81.6,-3.5,1.6747,34.06,,127.79,123.62,27.37,24.06,3.5,,2.0,1.0,15.1,21.8,Communication Services,,,Internet Content & Information,GOOGL,0.93,,-1.0,1.3508,28.91
,-4.0,2026-06-10T03:00:34.120772+00:00,,,9.78,0.81,,,,16.1,-0.17,,-6.0,-3.0,SP500,45.0,-2.0,True,True,True,US,,-92.7,-2.1,3.05,220.58,-130.9,4.3,0.863,29.81,,-18.85,-24.07,-15.5,-22.3,-4.0,,4.0,2.0,3.5,6.8,Consumer Cyclical,,,Auto Parts,GPC,-2.38,,1.0,0.6846,28.9
